-1.8783228e-002,-3.0578585e-001,-3.9204303e-001,5.2615661e-001,-4.3932774e-002,5.6478381e-001,-5.8860082e-001,7.6175965e-001,8.2176397e-001,7.9385915e-001,9.0863202e-001,-5.7836044e-002,2.6661357e-001,6.4109602e-001,8.3416115e-001,-8.9487009e-001,7.7397218e-001,-2.4428878e-001,8.9982379e-001
3.2046599e-002,-3.5308560e-001,-4.1770339e-001,5.1096309e-001,-5.1935481e-002,5.7545181e-001,-5.9572050e-001,7.8544824e-001,8.2176397e-001,7.6547850e-001,9.1468130e-001,7.2334443e-002,-4.2040731e-002,6.2183122e-001,7.9490212e-001,-8.9566955e-001,7.7956764e-001,-2.8567814e-001,8.9282076e-001
7.9586172e-002,-4.0040738e-001,-4.3597477e-001,5.2205417e-001,-4.1601591e-002,5.6964673e-001,-6.0303232e-001,7.8544824e-001,8.2176397e-001,7.8160782e-001,9.0397970e-001,-2.4316936e-002,3.4996678e-002,6.2183122e-001,8.0011354e-001,-8.9606929e-001,7.8575177e-001,-2.6236271e-001,8.9632504e-001
2.4130638e-001,-4.8104597e-001,-4.9463420e-001,4.2040737e-001,-1.2379062e-001,4.8013632e-001,-6.7644137e-001,7.6550278e-001,8.1906949e-001,7.9021534e-001,9.0513724e-001,-1.8219090e-002,3.0675062e-001,7.0588693e-001,8.5934139e-001,-8.5329780e-001,7.4205833e-001,3.8411496e-001,8.8604117e-001
1.5771952e-002,-3.1840352e-001,-3.9774812e-001,3.8973726e-001,-1.2992301e-001,4.8159438e-001,-6.3878993e-001,7.6798111e-001,8.2176397e-001,7.3138567e-001,8.9823962e-001,7.0310485e-003,3.2397320e-001,7.0588693e-001,9.1056146e-001,-8.9020653e-001,7.4284927e-001,6.5481622e-001,8.7675726e-001
-1.0282033e-001,-2.3419763e-001,-3.4419061e-001,4.4977863e-001,-1.1366780e-001,5.0825795e-001,-5.9835539e-001,7.7005918e-001,8.0509259e-001,7.5484446e-001,9.0374149e-001,-5.7153888e-002,1.0006473e-001,7.0588693e-001,8.7089957e-001,-8.8714191e-001,7.5439464e-001,1.0353063e-001,8.8219066e-001
-1.1344000e-001,-2.5113130e-001,-3.4562316e-001,4.6803848e-001,-9.4168421e-002,5.7900756e-001,-5.6326748e-001,7.7222010e-001,8.0629390e-001,7.6909561e-001,9.0191606e-001,2.1110459e-002,1.9496780e-001,7.0246018e-001,8.6209898e-001,-8.8647568e-001,7.6779056e-001,7.8362699e-002,8.9123675e-001
-1.1874990e-001,-2.5113130e-001,-3.4750811e-001,4.6870349e-001,-6.6468374e-002,5.7900756e-001,-5.4968683e-001,7.7728199e-001,8.0861057e-001,7.8628353e-001,9.0826065e-001,2.1110459e-002,1.9496780e-001,6.9184205e-001,8.5769761e-001,-8.8607595e-001,7.6757388e-001,6.5779877e-002,8.9123675e-001
-1.1549847e-001,-2.4494357e-001,-3.5504788e-001,4.7887358e-001,-1.9926524e-002,5.8000436e-001,-6.3397028e-001,7.6510436e-001,8.1787948e-001,7.6559087e-001,9.0579632e-001,-8.3162362e-002,2.7146647e-001,6.4937161e-001,8.2476811e-001,-8.8447702e-001,7.7124490e-001,2.8029123e-002,8.9907050e-001
-1.1712756e-001,-5.4004955e-002,-4.1400890e-001,4.8418143e-001,-5.4804341e-002,5.6874591e-001,-5.4233111e-001,7.8070786e-001,8.2176397e-001,8.1141801e-001,9.0837551e-001,6.7791357e-002,2.0228655e-001,6.3655191e-001,8.3666237e-001,-8.7714857e-001,7.4030047e-001,3.9907466e-001,8.8993924e-001
